date,id,text, bot_non_bot
Wed Apr 25 22:48:43 +0000 2018,989275038103851008,"RT @mattloff: “The president clearly didn’t ask questions"" about VA Nominee Ronny Jackson before he was nominated, @SenSherrodBrown says on…",1
Wed Apr 25 22:48:38 +0000 2018,989275017287434246,"RT @mattloff: “The most troubling single thing” about allegations against VA Nominee Ronny Jackson, according to @SenSherrodBrown is that “…",1
Wed Apr 25 22:48:35 +0000 2018,989275002141925376,RT @rachelwellford: .@johnyangtv speaks to @SenSherrodBrown on @NewsHour about WH doctor Ronny Jackson's VA sec. nomination.,1
Wed Apr 25 22:48:29 +0000 2018,989274981103276033,"RT @rachelwellford: ""It certainly does have an impact on public confidence"" when the president speaks negatively about the FBI and DOJ- @Sa…",1
Wed Apr 25 22:48:27 +0000 2018,989274971078844416,"RT @mattloff: This has been a ""really hard time for the folks at DOJ,"" former Deputy AG @SallyQYates says on @NewsHour. ""These are hardwork…",1
Wed Apr 25 22:29:21 +0000 2018,989270164452462593,"""Is this travel ban infected by the same animus that infected the first one? And that is the intent to discriminate… https://t.co/pphYFbbcpm",1
Wed Apr 25 22:28:06 +0000 2018,989269849284202503,"RT @mattloff: “We repeatedly get right up to the precipice of the president firing someone at DOJ,"" @SallyQYates says on @NewsHour. His dec…",1
Wed Apr 25 22:26:35 +0000 2018,989269469791948800,"RT @mattloff: ""For the rule of law to have any meaning in this country… we have to ensure there is a division between the White House and D…",1
Wed Apr 25 22:25:38 +0000 2018,989269227436756993,"RT @sarajust: ""It's a reversal of sorts..."" @sallyqyates says about Michael Cohen asserting his 5th amendment rights today in Stormy Daniel…",1
Wed Apr 25 22:24:54 +0000 2018,989269044913233921,RT @courtneyknorris: Tonight on @Newshour: False news that Parkland survivor David Hogg is a 'crisis actor' was trending 'news' on Facebook…,1
Wed Apr 25 22:24:14 +0000 2018,989268877099065346,"RT @mattloff: ""Is this travel ban infected by the same animus that infected the first one?"" @SallyQYates asks on @NewsHour about the Suprem…",1
Wed Apr 25 22:24:11 +0000 2018,989268863731884038,RT @rachelwellford: On @NewsHour with @JudyWoodruff right now: former Deputy AG @SallyQYates talks about the travel ban case before the Sup…,1
Wed Apr 25 22:22:38 +0000 2018,989268473581854720,"RT @sarajust: ""They've made some important changes to this travel ban..."" compared to the original version ""but you still have to ask yours…",1
Wed Apr 25 22:22:36 +0000 2018,989268464719319046,"RT @LisaDNews: NOW: Sally Yates speaking w/ @JudyWoodruff on @NewsHour.

Many questions for her, including about the travel ban. (Reminder,…",1
Wed Apr 25 22:22:32 +0000 2018,989268448701239299,"RT @mattloff: .@MarciaCoyle explains the Supreme Court discussion of @realDonaldTrump's campaign statements and tweets. Do they show ""animu…",1
Wed Apr 25 22:22:29 +0000 2018,989268437523484672,RT @mattloff: Now on @NewsHour: @MarciaCoyle explains the 3 big questions on the travel ban at the Supreme court today. Did president trump…,1
Wed Apr 25 22:22:25 +0000 2018,989268421010493443,RT @meredithllee: #SCOTUS heard arguments on the third version of President Trump's travel ban today. Watch our @NewsHour report. @JeffreyB…,1
Wed Apr 25 22:22:17 +0000 2018,989268386667524096,"WATCH on #Periscope: @JudyWoodruff interviews @SallyQYates, who served as acting attorney general in January 2017 b… https://t.co/YYPniV98yF",1
Wed Apr 25 22:12:01 +0000 2018,989265800782475264,"French President Emmanuel Macron went before Congress today with a message on leadership, Iran, climate, trade and… https://t.co/aSv8SCiLgj",1
Wed Apr 25 22:08:28 +0000 2018,989264909165776896,President Trump's bid to bar travel from mostly Muslim nations went before the Supreme Court today. @JeffreyBrown e… https://t.co/RcCPDc3gKF,1
Wed Apr 25 22:08:07 +0000 2018,989264820116615169,RT @mattloff: And tune in to @NewsHour in 10 minutes for @MarciaCoyle's analysis from inside the Supreme Court today. https://t.co/MKVTY1L5…,1
Wed Apr 25 22:00:02 +0000 2018,989262784994074624,Key moments from the Supreme Court arguments on Trump’s travel ban (via @Josh_Barrage + @SaherMKhan)  https://t.co/XDwKHDoLP4,1
Wed Apr 25 21:53:37 +0000 2018,989261172942745605,"RT @Phil_Caller: In the spawning #Rohingya refugee camps, many underage girls are being forced to marry simply because their relatives can'…",1
Wed Apr 25 21:53:20 +0000 2018,989261100867883008,RT @TaniaRashid9: Tens of thousands of young #Rohingya girls fled Myanmar's bloody crackdown into #Bangladesh seeking safety. But many of t…,1
Wed Apr 25 21:53:15 +0000 2018,989261080978493441,"RT @mtill50: Tonite @NewsHour - @LisaDNews wraps up @EmmanuelMacron speech to a joint meeting of Congress, &amp; his stated, clear differences…",1
Wed Apr 25 21:40:00 +0000 2018,989257744778579968,"TONIGHT: @JudyWoodruff interviews @SallyQYates, who was fired from her role as acting attorney general in 2017 over… https://t.co/5gYORk66FH",1
Wed Apr 25 21:20:00 +0000 2018,989252711844528128,Read the exact charges against Vetarans Affairs nominee Ronny Jackson (by @LisaDNews) https://t.co/nAbSIzmSdk,1
Wed Apr 25 21:11:40 +0000 2018,989250613157474304,"RT @ericarhendry: VA nominee Ronny Jackson was reportedly called ""Candyman"" by White House staff because he provided prescriptions without…",1
Wed Apr 25 21:00:01 +0000 2018,989247683742253056,"The overall increase was fueled by a nearly 15-percent surge in sexual assault reports in the Marine Corps, accordi… https://t.co/npKYejzLp1",1
Wed Apr 25 20:58:56 +0000 2018,989247411393581056,"RT @LisaDNews: READ the Dems summary of charges against Dr. Ronny Jackson here. (JUST POSTED)

https://t.co/hjWnwDjEqv",1
Wed Apr 25 20:40:00 +0000 2018,989242645905014784,Ask the Headhunter: How do you find a work-at-home job? https://t.co/jPFOlDyCYM,1
Wed Apr 25 20:39:19 +0000 2018,989242473301073920,"RT @LisaDNews: JACKSON more from Democrats' summary of charges:
- He is alleged to have have amassed a private stock of controlled substanc…",1
Wed Apr 25 20:39:06 +0000 2018,989242418355720192,"RT @ellisislandkim: TONIGHT: @JudyWoodruff interviews @SallyQYates on @NewsHour.

You can watch live here: https://t.co/BCuZXllErq -- 6pm ET",1
Wed Apr 25 20:38:53 +0000 2018,989242365444591616,"RT @LisaDNews: NEW on Dr. Ronny Jackson, more from Democrats in their summary of charges:
- That there was  ""constant fear of reprisal""
- J…",1
Wed Apr 25 20:20:00 +0000 2018,989237611507183617,Medicare will require hospitals to post their standard prices online and make electronic medical records more readi… https://t.co/2VZRiBLFZu,1
Wed Apr 25 20:14:19 +0000 2018,989236183476686851,"TONIGHT: @JudyWoodruff interviews @SallyQYates, who was fired from her role as acting attorney general in 2017 over… https://t.co/hZ1ucHrGPo",1
Wed Apr 25 20:00:01 +0000 2018,989232582607896576,A Dallas police officer died Wednesday after a shooting that wounded another officer and an employee at a home impr… https://t.co/HNUxDvFhcA,1
Wed Apr 25 19:40:00 +0000 2018,989227545622016001,Millions of families living in federally subsidized public housing would have to pay more for rent under a Trump ad… https://t.co/VOn1HUJorc,1
Wed Apr 25 19:20:00 +0000 2018,989222512801218560,"The White House is defending Veterans Affairs nominee Ronny Jackson, insisting the longtime White House doctor has… https://t.co/8HyFEv7j8C",1
Wed Apr 25 19:16:06 +0000 2018,989221531640254464,WATCH on #Periscope: California authorities expected to announce new developments in #GoldenStateKiller case https://t.co/UxGiyV3SZt,1
Wed Apr 25 18:59:24 +0000 2018,989217329924976641,WATCH LIVE: California authorities expected to announce new developments in #GoldenStateKiller case https://t.co/utUxWenE4H,1
Wed Apr 25 18:40:00 +0000 2018,989212446081470464,Why your observation stay at the hospital could end with a big bill (via @PhilMoeller) https://t.co/ec0STUYOJN,1
Wed Apr 25 18:37:04 +0000 2018,989211708592881664,"RT @Yamiche: Sarah Sanders: ""I would reject the idea that the president or this administration has halted freedom of the press. I think we…",1
Wed Apr 25 18:37:00 +0000 2018,989211690322538496,"RT @Yamiche: Sarah Sanders: ""We support a free press but we also support a fair press. And we think those things should go hand in hand.""",1
Wed Apr 25 18:36:47 +0000 2018,989211637788835843,"RT @Yamiche: Sarah Sanders just now: ""The DACA program violated federal law.""",1
Wed Apr 25 18:36:40 +0000 2018,989211608198057984,"RT @Yamiche: Sarah Sanders on Dr. Ronny Jackson: ""Dr. Jackson’s record as a White House physician has been impeccable. .., He has received…",1
Wed Apr 25 18:20:00 +0000 2018,989207412497301504,"Maine police search for man who killed deputy, robbed store. https://t.co/6eJG0lmHF9",1
Wed Apr 25 18:11:30 +0000 2018,989205274018775040,WATCH on #Periscope: President Trump's @PressSec Sarah Sanders holds @WhiteHouse news briefing https://t.co/D4XhHkbVJg,1
Wed Apr 25 18:08:08 +0000 2018,989204426782117888,"WATCH LIVE: White House may address Macron visit, Ronny Jackson nomination. https://t.co/f3u9TTyzA3",1
Wed Apr 25 18:00:02 +0000 2018,989202388190806017,LISTEN: Supreme Court hears arguments over President Trump’s travel ban https://t.co/l3JthhMlGD,1
Wed Apr 25 17:40:00 +0000 2018,989197346763427841,"WATCH: Before they agree to go home, the #Rohingya have some demands. @TaniaRashid9 reports: https://t.co/7Cc6EXVWKP https://t.co/L8vEDikY9T",1
Wed Apr 25 17:20:00 +0000 2018,989192314223579137,Dallas mayor says 1 officer has died after Home Depot shooting. https://t.co/t18ePEyDDh,1
Wed Apr 25 17:00:02 +0000 2018,989187288511873024,"""No red flags were raised"" in Ronny Jackson nomination vetting, @Marcshort45 told @Nawazistan on last night's broad… https://t.co/UNzWv1VJmZ",1
Wed Apr 25 16:40:00 +0000 2018,989182247117832192,EPA security chief worked for tabloid publisher with ties to President Trump https://t.co/RAWUCIwf4s,1
Wed Apr 25 16:20:00 +0000 2018,989177213663698946,President Trump urges VA nominee Ronny Jackson to keep fighting. https://t.co/gU5aHn4XWZ,1
Wed Apr 25 16:13:32 +0000 2018,989175585065852933,The travel ban is the first Trump policy to undergo a full-blown Supreme Court review. https://t.co/l3JthhuKP5,1
Wed Apr 25 16:13:06 +0000 2018,989175476525719554,The audio recordings of Wednesday’s arguments in Trump v. Hawaii were released by the Supreme Court. Listen to the… https://t.co/PQOd2gIqbA,1
Wed Apr 25 16:12:19 +0000 2018,989175280173449216,LISTEN: Supreme Court hears arguments over President Trump’s travel ban https://t.co/3vuNxo4ItE,1
Wed Apr 25 16:04:20 +0000 2018,989173270556667909,RT @TaniaRashid9: Here is the full link to our #film on the complex deal between #Myanmar and #Bangladesh gov plans to repatriate the #Rohi…,1
Wed Apr 25 16:03:36 +0000 2018,989173086569287681,"RT @nickschifrin: We are honored to announce our @NewsHour series ""Inside Putin's Russia"" won a @PeabodyAwards. With @zachfannin and @rmnua…",1
Wed Apr 25 16:00:01 +0000 2018,989172184177246208,U.S. drops to 45th in list of best and worst countries to be a reporter. https://t.co/FHGG87ro7G,1
Wed Apr 25 15:40:00 +0000 2018,989167147942334464,Military sex assault reports jump 10 percent in 2017. https://t.co/y9YlQlkcus,1
Wed Apr 25 15:31:23 +0000 2018,989164980783239168,"RT @jennymarder: In index of best and worst countries to be a reporter, U.S. drops 2 points to 45th.   https://t.co/Fj1BFWRlBA",1
Wed Apr 25 15:30:53 +0000 2018,989164854291369984,"RT @courtneyknorris: Macron: ""I believe in building a better future for our children which requires offering them a planet that is still ha…",1
Wed Apr 25 15:30:50 +0000 2018,989164839166791680,"RT @courtneyknorris: MACRON: ""make our planet great again""",1
Wed Apr 25 15:30:46 +0000 2018,989164822108438528,"RT @courtneyknorris: NEW: French President Macron tells Congress ""I am sure one day the United States will come back and join the Paris Agr…",1
Wed Apr 25 15:20:00 +0000 2018,989162114144260096,Senators grow frustrated with lax vetting on Trump nominees. https://t.co/Z9PUPkOJND,1
Wed Apr 25 15:00:02 +0000 2018,989157090953515009,EPA chief Scott Pruitt signs proposal limiting what kind of scientific studies can be used by federal regulators https://t.co/ce7FBxhWya,1
Wed Apr 25 14:40:00 +0000 2018,989152048192028674,Republican Debbie Lesko wins special U.S. House election in Arizona. https://t.co/f4fosdOUr9,1
Wed Apr 25 14:30:31 +0000 2018,989149659921764352,WATCH: #periscope: French President @EmmanuelMacron addresses joint session of Congress https://t.co/UXhhGSBeUy,1
Wed Apr 25 14:21:36 +0000 2018,989147417936359424,"RT @MikeRiosNews: Your guide to the Supreme Court case on Trump's #TravelBan 

https://t.co/mK5rcS6GPb",1
Wed Apr 25 14:20:00 +0000 2018,989147014733615105,WATCH LIVE: France’s Macron addresses joint session of Congress. https://t.co/sHk9jCgzqD,1
Wed Apr 25 14:00:01 +0000 2018,989141988023812096,"When schools “want to share good news about the student month, or who won the big game, or if they have a crisis or… https://t.co/vZ45BiQyyE",1
Wed Apr 25 13:40:00 +0000 2018,989136948672499712,Federal judge rules against decision to end DACA program. https://t.co/VWfMxBQpP7,1
Wed Apr 25 13:20:00 +0000 2018,989131916237463552,Medicare to require hospitals to post prices online https://t.co/Ri5dFSbuFi,1
Wed Apr 25 13:00:02 +0000 2018,989126891826069506,The jury in Bill Cosby’s sexual assault retrial is expected to begin deliberating the comedian’s fate today. https://t.co/YtbU8TsR5N,1
Wed Apr 25 12:00:00 +0000 2018,989111782533873665,How did Charlotte Pence take John Oliver’s decision to parody “Marlon Bundo”? “Now we have two bunny books that are… https://t.co/UhAFgvcLlj,1
Wed Apr 25 11:00:02 +0000 2018,989096690778099712,The repatriation of Rohingya Muslims was meant begin two months ago after a deal between Myanmar and Bangladesh. He… https://t.co/qOud8FZTcO,1
Wed Apr 25 10:00:02 +0000 2018,989081590792765440,"For wounded warriors and others, will such an operation eventually become routine? Here are the challenges doctors… https://t.co/THo9c1GoHE",1
Wed Apr 25 04:00:01 +0000 2018,988990989703376898,The biggest debate facing the VA is how much the agency should be outsourcing medical care to the private sector. V… https://t.co/TOmO7DIqXP,1
Wed Apr 25 03:00:00 +0000 2018,988975886824366081,"The White House thinks allegations about President Trump’s VA pick Ronny Jackson are false, says Director of Legisl… https://t.co/zEefIyXtze",1
Wed Apr 25 02:00:00 +0000 2018,988960787313065984,Senators announced that they will postpone a confirmation hearing for VA secretary nominee Ronny Jackson as concern… https://t.co/I6UErAMdXA,1
Wed Apr 25 01:00:01 +0000 2018,988945692801433600,French President Macron hoped to build on President Trump’s good will in urging his American counterpart to maintai… https://t.co/8mR22coNqs,1
Wed Apr 25 00:40:00 +0000 2018,988940655002038273,Environmental Protection Agency Administrator Scott Pruitt signed a proposed rule Tuesday that seeks to restrict th… https://t.co/ms6qPz7ufk,1
Wed Apr 25 00:20:00 +0000 2018,988935621325418496,The White House says the United States “condemns the violence and repression propagated by the Government of Nicara… https://t.co/A39YT2gntV,1
Wed Apr 25 00:00:02 +0000 2018,988930597736284160,Texas governor calls special election to replace Rep. Farenthold https://t.co/iHi7Ixrr9m,1
Tue Apr 24 23:40:00 +0000 2018,988925556245876736,"Your guide to the Supreme Court case on President Trump’s travel ban, from @SaherMKhan https://t.co/440DpN4z8d",1
Tue Apr 24 23:25:32 +0000 2018,988921915447296001,.@SecondLady Karen Pence and Charlotte Pence tell @JudyWoodruff that they are directing the proceeds from their boo… https://t.co/BZeOLrGEIE,1
Tue Apr 24 23:20:00 +0000 2018,988920522183512069,FDA warns retailers against illegal sale of e-cigarettes to children. https://t.co/QR3XwOkKym,1
Tue Apr 24 23:14:25 +0000 2018,988919116554629120,"Schools ""view Facebook as an essential part of modern life,"" @BenjaminBHerold tells @johnyangtv. But the recent con… https://t.co/2sFArvE4Df",1
Tue Apr 24 23:07:35 +0000 2018,988917397867261952,.@HopkinsMedicine announced this week they had performed the first total penis and scrotum transplant in the world… https://t.co/ZVQSwE5Kx2,1
Tue Apr 24 22:58:45 +0000 2018,988915174416384000,"They escaped a campaign of murder, repression and rape by Myanmar's military and militant Buddhist monks. Now, thou… https://t.co/6v6MIXFlH3",1
Tue Apr 24 22:51:13 +0000 2018,988913280411406338,"RT @Yamiche: The White House, with these Obama notes, are doubling down on Dr. Ronny Jackson as the nominee for VA Secretary while also kee…",1
Tue Apr 24 22:50:28 +0000 2018,988913089629179904,"When Ronny Jackson's name was announced, ""no one had any idea, and still doesn't really, where he stands on the key… https://t.co/oICk9G6Opa",1
Tue Apr 24 22:47:40 +0000 2018,988912384856264705,"RT @Yamiche: One handwritten note from President Obama says this: ""Ronny's positive impact cannot be overstated. He is a tremendous asset t…",1
Tue Apr 24 22:42:30 +0000 2018,988911086693838848,"On the campaign trail, Pres. Trump floated the idea of bringing back waterboarding. Is that something the Trump Whi… https://t.co/frCAJoBXPT",1
Tue Apr 24 22:40:10 +0000 2018,988910498375766016,"RT @Yamiche: NEW- Marc Short, White House Director of Legislative Affairs, just shared assessment reports of Dr. Ronny Jackson from 2014 wi…",1
Tue Apr 24 22:32:50 +0000 2018,988908650692571136,"RT @Phil_Caller: These refugees want safety &amp; dignity before they return home, but with ongoing ethnic cleansing by #Myanmar troops in Rakh…",1
Tue Apr 24 22:27:13 +0000 2018,988907239355236352,"""I think that Dr. [Ronny] Jackson has every opportunity now to make sure that those accusations that have been rais… https://t.co/FGePsshXRV",1
Tue Apr 24 22:20:56 +0000 2018,988905657133776896,"""The White House narrative is that they do pick great people, and they're picking people that are outside of the bo… https://t.co/5525uiZS6W",1
Tue Apr 24 22:19:52 +0000 2018,988905388560052225,RT @Yamiche: Marc Short on NewsHour: There have been no red flags raised about Rony Jackson but we think they’re false and Ronny Jackson wi…,1
Tue Apr 24 22:17:40 +0000 2018,988904834496638977,WATCH on #Periscope: @Nawazistan interviews @WhiteHouse Director of Legislative Affairs @Marcshort45. https://t.co/UVze1eCfIb,1
Tue Apr 24 22:16:04 +0000 2018,988904434930536448,"RT @TaniaRashid9: After a genocidal campaign of ethnic cleansing by Burmese troops, #Rohingya #refugees demand security and rights before t…",1
Tue Apr 24 22:14:06 +0000 2018,988903936378589184,"Senators announced today that they will postpone a confirmation hearing for Ronny Jackson, President Trump's pick t… https://t.co/POesSYfFog",1
Tue Apr 24 22:09:01 +0000 2018,988902660467118080,President Trump and French President Macron met today and discussed differences over the Iran nuclear deal. Their s… https://t.co/WlkS9hoKt0,1
Tue Apr 24 22:01:13 +0000 2018,988900697952391168,"TONIGHT: @Nawazistan interviews @Marcshort45 about Ronny Jackson, Syria and other topics.

Watch on @PBS NewsHour's… https://t.co/sukdXUlFys",1
Tue Apr 24 22:00:02 +0000 2018,988900400190447618,Company formerly known as Yahoo will pay $35 million to settle federal charges over 2014 hack https://t.co/kJlW7dyqrs,1
Tue Apr 24 21:50:44 +0000 2018,988898056534937603,"RT @mtill50: Tonite @NewsHour - @Yamiche reports on jour deux of @POTUS hosting @EmmanuelMacron, as differences on #Irandeal come to the fo…",1
Tue Apr 24 21:49:59 +0000 2018,988897867950682112,"RT @BenjaminBHerold: I’ll be on @NewsHour tonite talking about schools, teens and @facebook for @educationweek. Look forward to continuing…",1
Tue Apr 24 21:41:50 +0000 2018,988895818517221376,RT @rlcoolidge: What to watch in Arizona’s special election https://t.co/3AiGAiB46D,1
Tue Apr 24 21:40:00 +0000 2018,988895356904763392,Arizonans will head to the polls Tuesday to vote in a special election between Republican Debbie Lesko and Democrat… https://t.co/SINa5EE122,1
Tue Apr 24 21:23:16 +0000 2018,988891145014046732,RT @sarajust: Celebrating @PeabodyAwards @newshour with our talented colleagues @nickschifrin @zachfannin (via skype) @mtill50 also @jamesb…,1
Tue Apr 24 21:20:00 +0000 2018,988890323484004352,"Veterans Affair nominee Ronny Jackson had history of ‘unprofessional behavior,’ according to 2012 watchdog report. https://t.co/MYbFK22QGI",1
Tue Apr 24 21:00:02 +0000 2018,988885300826050561,Read these 5 important stories that have nothing to do with the Comey memos https://t.co/xP898OdVZ0,1
Tue Apr 24 20:40:00 +0000 2018,988880256835702785,A battle is brewing in the HIV research world about the best way to prevent the virus' transmission. https://t.co/EckizgqzVf,1
Tue Apr 24 20:20:00 +0000 2018,988875223704334336,"WATCH: Iran will pay if it restarts nuclear program, President Trump says. https://t.co/qAtItmjnK5",1
Tue Apr 24 20:00:02 +0000 2018,988870200379498503,"The standards themselves aren’t changing, but the details reveal some interesting tidbits. https://t.co/6lxLpY8qWq",1
Tue Apr 24 19:40:00 +0000 2018,988865158578614272,Ask the Headhunter @nickcorcodilos: How do you find a work-at-home job? https://t.co/jPFOlDyCYM,1
Tue Apr 24 19:35:43 +0000 2018,988864080596422657,"RT @LisaDNews: NOW: Senate moving to the Pompeo nomination. 

McConnell filing the first motion (cloture) to get things going. Looks like f…",1
Tue Apr 24 19:20:00 +0000 2018,988860124872790017,Here's what to watch in Arizona's special election (by @jyarvin) https://t.co/50nFxCPWAL,1
Tue Apr 24 19:07:06 +0000 2018,988856877474897920,WATCH on #Periscope: Canadian officials provide update on Toronto van collision investigation. https://t.co/qIjKKpGVIB,1
Tue Apr 24 19:00:00 +0000 2018,988855090688671744,India’s struggling farmers are finding seeds of hope in heritage crops. Watch @newshourfred's report:… https://t.co/XJ96rhIvqV,1
Tue Apr 24 18:40:00 +0000 2018,988850058031390720,Here's how journalist @danpatrickegan wrote the life (and death) story of the Great Lakes. #NowReadThis https://t.co/lQn2siEveW,1
Tue Apr 24 18:20:00 +0000 2018,988845024916852739,FDA warns retailers against illegal sale of e-cigarettes to children. https://t.co/8QoUggvcQ3,1
Tue Apr 24 18:13:11 +0000 2018,988843311506116609,"RT @jennymarder: ""You have to be a believer to spend time making a new drug. But then you have to be a skeptic of your own data.""  Fascinat…",1
Tue Apr 24 18:03:03 +0000 2018,988840758722613248,"The new @PBS @NewsHour website, produced in partnership with @Upstatement, is the recipient of a People's Voice Awa… https://t.co/J2vIM6u8SZ",1
Tue Apr 24 18:00:03 +0000 2018,988840006092443649,"Ricky Boyd was shot by police. 3 months later, his mother wants the body-cam released 

Boyd's mother, Jameillah Sm… https://t.co/rCWv3l82gG",1
Tue Apr 24 17:48:29 +0000 2018,988837093374865408,"RT @Yamiche: Pres Trump hints now that Dr. Ronny Jackson might pull out of being VA Sectary nominee. ""He is a high quality person...I don't…",1
Tue Apr 24 17:48:00 +0000 2018,988836972381790209,"RT @LisaDNews: TRUMP: I haven't heard of the allegations against Ronny Jackson, but he is one of the finest people i have met.",1
Tue Apr 24 17:47:50 +0000 2018,988836930329698305,"RT @Yamiche: Pres Trump: “If Iran threatens us in anyway, they will pay a price like few countries have ever paid.”",1
Tue Apr 24 17:40:00 +0000 2018,988834958318948353,Why a promising new approach to HIV prevention could lose funding (by @HeatherBoerner) https://t.co/EckizgqzVf,1
Tue Apr 24 17:20:00 +0000 2018,988829927343644672,Toronto police continue to investigate a van collision that killed 10 people and injured 15 more in Canada Monday a… https://t.co/nYHI53DNfo,1
Tue Apr 24 17:08:57 +0000 2018,988827143437193216,"RT @Yamiche: Pres Trump on North Korea: ""We have made no concessions. I haven’t even discussed a concession other than the fact that meetin…",1
Tue Apr 24 17:00:02 +0000 2018,988824902428954630,Column by @mikemosettig: President Trump and French President Macron’s unexpected friendship https://t.co/QF4CQkTLRd,1
Tue Apr 24 16:47:48 +0000 2018,988821820982878210,WATCH on #Periscope: President Trump and French President Emmanuel Macron hold joint news conference at the… https://t.co/iaZpa7dS3b,1
Tue Apr 24 16:40:00 +0000 2018,988819859415777280,Supreme Court decision pending in Texas redistricting case https://t.co/4GgNerJA81,1
Tue Apr 24 16:28:36 +0000 2018,988816990939897861,"President Trump says North Korea wants meeting as soon as possible, praises leader as ""honorable"" https://t.co/oczqmuWtPl",1
Tue Apr 24 16:00:03 +0000 2018,988809805182595073,"Former President George H.W. Bush hospitalized with infection, spokesman says https://t.co/MdcBKFp1TC",1
Tue Apr 24 15:48:49 +0000 2018,988806980205559808,WATCH: #periscope: President Trump and French President Emmanuel Macron hold joint news conference https://t.co/qbsAoe3Eto,1
Tue Apr 24 15:40:00 +0000 2018,988804759141269506,A poet’s love letters to the outdoors (via @JenHijaz)  https://t.co/6ZjmkvXz8D,1
Tue Apr 24 15:29:52 +0000 2018,988802208207695872,"RT @MikeRiosNews: The suspect, 25-year-old Alek Minassian, appeared in court Tuesday morning and faced 10 counts of first degree murder and…",1
Tue Apr 24 15:20:00 +0000 2018,988799726337249281,What we know — and don’t know — about the Toronto van collision (via @MikeRiosNews) https://t.co/37glXQYzWx,1
Tue Apr 24 15:00:02 +0000 2018,988794701120786432,WATCH LIVE: White House hosts Emmanuel Macron during Donald Trump’s first state dinner. https://t.co/4SpeTOviZI,1
Tue Apr 24 14:54:32 +0000 2018,988793318447484929,RT @JudyWoodruff: Big @NewsHour congrats to @nickschifrin @zachfannin and thanks to @pulitzercenter on this @PeabodyAwards for eye-opening…,1
Tue Apr 24 14:40:00 +0000 2018,988789659667980291,"Senate may delay hearing for Ronny Jackson, Donald Trump’s doctor and pick to run Veteran Affairs. https://t.co/i71HDVYn2z",1
